Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,12/14/2020,US,3639,3520,4,15832,14199,1359,7100,7916,680,null,null,4,14199,1374,687
Report,12/14/2020,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,12/14/2020,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,12/15/2020,US,48894,45469,25,64726,59668,1384,19889,21575,461,null,null,26,59668,1400,466
Report,12/15/2020,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,12/15/2020,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,12/16/2020,US,158189,151334,198,222915,211002,1582,52751,55728,396,null,null,198,211002,1598,399
Report,12/16/2020,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,12/16/2020,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,12/17/2020,US,271033,260229,476,493948,471231,2058,94246,98789,412,null,null,476,471231,2074,414
Report,12/17/2020,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,12/17/2020,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,12/18/2020,US,411904,400580,561,905852,871811,2619,145302,150975,437,null,null,561,871811,2635,439
Report,12/18/2020,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,12/18/2020,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,12/19/2020,US,179837,175200,695,1085689,1047011,3314,149573,155098,473,null,null,695,1047011,3330,475
Report,12/19/2020,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,12/19/2020,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,12/20/2020,US,102578,100430,468,1188267,1147441,3782,162395,168010,347,null,null,469,1147441,3799,347
Admin,12/20/2020,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,12/21/2020,US,376412,368061,776,1564679,1515502,4558,214472,221263,457,null,null,779,1515502,4578,457
Report,12/21/2020,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,12/21/2020,LTC,14164,14000,0,16450,16087,0,2265,2317,0,null,null,0,16087,0,0
Admin,12/22/2020,US,442667,433558,1894,2007346,1949060,6452,269913,277517,724,null,null,1895,1949060,6473,724
Report,12/22/2020,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,12/22/2020,LTC,16783,16561,9,33233,32648,9,4631,4714,1,null,null,9,32648,9,1
Admin,12/23/2020,US,560115,548134,1582,2567461,2497194,8034,326599,334935,922,null,null,1582,2497194,8055,922
Admin,12/24/2020,US,191387,185885,832,2758848,2683079,8866,315978,323557,973,null,null,832,2683079,8887,973
Admin,12/24/2020,LTC,2042,2026,16,58016,54846,38,7802,8254,5,null,null,16,54846,38,5
Admin,12/25/2020,US,11934,11844,36,2770782,2694923,8902,260445,266418,898,null,null,36,2694923,8923,898
Admin,12/25/2020,LTC,115,115,0,58131,54961,38,7630,8054,5,null,null,0,54961,38,5
Admin,12/26/2020,US,136639,134193,315,2907421,2829116,9217,254586,260247,843,null,null,315,2829116,9238,844
Report,12/26/2020,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,12/26/2020,LTC,9361,9234,13,67492,64195,51,8903,9345,7,null,null,13,64195,51,7
Admin,12/27/2020,US,91744,89890,296,2999165,2919006,9513,253081,258699,819,null,null,296,2919006,9534,819
Report,12/27/2020,US,null,null,null,null,null,null,null,null,null,61992,228700,null,null,null,null
Admin,12/27/2020,LTC,8946,8820,8,76438,73015,59,10133,10593,8,null,null,8,73015,59,8
Admin,12/28/2020,US,567913,553989,2158,3567078,3472995,11671,279642,286057,1016,null,null,2159,3472995,11693,1016
Report,12/28/2020,US,null,null,null,null,null,null,null,null,null,156220,229595,null,null,null,null
Admin,12/29/2020,US,697028,676361,2664,4264106,4149356,14335,314328,322394,1126,null,null,2666,4149356,14359,1126
Admin,12/30/2020,US,814758,792425,4759,5078864,4941781,19094,349227,358771,1580,null,null,4761,4941781,19120,1580
Admin,12/31/2020,US,409041,397785,1770,5487905,5339566,20864,379498,389865,1714,null,null,1770,5339566,20890,1714
Admin,12/31/2020,LTC,16133,16056,70,308664,302353,471,35358,35806,62,null,null,70,302353,471,61
Admin,1/1/2021,US,41418,39605,1064,5529323,5379171,21928,383464,394077,1861,null,null,1084,5379171,21974,1864
Admin,1/1/2021,LTC,1600,1596,4,310264,303949,475,35570,36019,62,null,null,4,303949,475,62
Admin,1/2/2021,US,245999,239380,2019,5775322,5618551,23947,398491,409700,2104,null,null,2021,5618551,23995,2108
Admin,1/3/2021,US,127647,121507,2025,5902969,5740058,25972,403007,414829,2351,null,null,2026,5740058,26021,2355
Report,1/3/2021,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
